# ground_pressure_hPa,1008.73,,
time_ms,pressure_hPa,temperature_C,altitude_m
3950,994.97,24.37,115.69
4000,995.02,24.38,115.28
4050,995.09,24.36,114.73
4100,995.12,24.35,114.43
4150,995.17,24.37,114.07
4200,995.21,24.37,113.68
4250,995.25,24.38,113.37
4300,995.29,24.38,113
4350,995.31,24.39,112.81
4400,995.37,24.35,112.37
4450,995.42,24.38,111.94
4500,995.44,24.36,111.74
4550,995.48,24.36,111.43
4600,995.51,24.36,111.16
4650,995.56,24.38,110.74
4700,995.59,24.39,110.44
4750,995.65,24.38,109.96
4800,995.68,24.39,109.72
4850,995.75,24.38,109.08
4900,995.8,24.39,108.66
4950,995.86,24.38,108.21
5000,995.91,24.39,107.74
5050,995.96,24.37,107.31
5100,996.01,24.39,106.94
5150,996.05,24.39,106.55
5200,996.11,24.39,106.1
5250,996.14,24.4,105.82
5300,996.22,24.4,105.18
5350,996.24,24.4,104.95
5400,996.25,24.4,104.87
5450,996.29,24.4,104.52
5500,996.35,24.39,104.05
5550,996.4,24.43,103.66
5600,996.45,24.41,103.23
5650,996.48,24.42,102.94
5700,996.53,24.41,102.54
5750,996.56,24.41,102.24
5800,996.59,24.42,101.99
5850,996.64,24.38,101.6
5900,996.7,24.4,101.08
5950,996.73,24.44,100.86
6000,996.79,24.4,100.37
6050,996.83,24.41,100.02
6100,996.85,24.42,99.79
6150,996.89,24.41,99.51
6200,996.95,24.44,99.02
6250,997,24.43,98.58
6300,997.05,24.42,98.13
6350,997.11,24.43,97.6
6400,997.17,24.41,97.09
6450,997.24,24.45,96.54
6500,997.3,24.44,96.01
6550,997.33,24.42,95.75
6600,997.37,24.43,95.44
6650,997.41,24.43,95.13
6700,997.44,24.42,94.84
6750,997.48,24.45,94.49
6800,997.52,24.46,94.21
6850,997.56,24.45,93.83
6900,997.63,24.42,93.28
6950,997.67,24.43,92.87
7000,997.7,24.45,92.65
7050,997.72,24.45,92.46
7100,997.74,24.46,92.29
7150,997.8,24.46,91.79
7200,997.85,24.43,91.43
7250,997.88,24.45,91.12
7300,997.92,24.44,90.84
7350,997.96,24.46,90.43
7400,998,24.46,90.14
7450,998.05,24.47,89.72
7500,998.09,24.47,89.38
7550,998.14,24.46,88.95
7600,998.18,24.47,88.61
7650,998.24,24.45,88.11
7700,998.26,24.45,87.91
7750,998.31,24.47,87.47
7800,998.37,24.45,87.01
7850,998.4,24.45,86.74
7900,998.44,24.47,86.43
7950,998.48,24.47,86.1
8000,998.53,24.47,85.61
8050,998.58,24.48,85.19
8100,998.63,24.47,84.81
8150,998.66,24.47,84.52
8200,998.7,24.48,84.25
8250,998.75,24.49,83.79
8300,998.8,24.49,83.37
8350,998.85,24.47,82.98
8400,998.9,24.46,82.57
8450,998.93,24.49,82.28
8500,998.97,24.48,81.91
8550,999.02,24.48,81.52
8600,999.09,24.48,80.9
8650,999.13,24.51,80.57
8700,999.2,24.52,79.98
8750,999.25,24.5,79.55
8800,999.29,24.5,79.25
8850,999.34,24.5,78.82
8900,999.4,24.5,78.35
8950,999.43,24.5,78.05
9000,999.5,24.48,77.52
9050,999.52,24.52,77.31
9100,999.57,24.49,76.92
9150,999.61,24.52,76.53
9200,999.66,24.5,76.16
9250,999.7,24.5,75.76
9300,999.74,24.5,75.42
9350,999.8,24.5,74.93
9400,999.84,24.52,74.59
9450,999.9,24.5,74.14
9500,999.94,24.52,73.76
9550,999.99,24.52,73.36
9600,1000.02,24.52,73.13
9650,1000.06,24.52,72.79
9700,1000.1,24.53,72.39
9750,1000.16,24.52,71.88
9800,1000.22,24.5,71.42
9850,1000.25,24.53,71.2
9900,1000.3,24.54,70.7
9950,1000.33,24.53,70.46
10000,1000.37,24.51,70.14
10050,1000.41,24.53,69.84
10100,1000.45,24.53,69.5
10150,1000.5,24.53,69.05
10200,1000.56,24.53,68.57
10250,1000.59,24.53,68.29
10300,1000.61,24.54,68.12
10350,1000.67,24.54,67.62
10400,1000.71,24.53,67.26
10450,1000.76,24.55,66.86
10500,1000.8,24.53,66.5
10550,1000.84,24.54,66.15
10600,1000.88,24.56,65.85
10650,1000.91,24.55,65.62
10700,1000.95,24.53,65.3
10750,1001,24.53,64.81
10800,1001.07,24.54,64.29
10850,1001.12,24.53,63.86
10900,1001.17,24.56,63.42
10950,1001.22,24.55,63.02
11000,1001.25,24.55,62.73
11050,1001.3,24.54,62.35
11100,1001.33,24.54,62.08
11150,1001.38,24.56,61.63
11200,1001.44,24.56,61.12
11250,1001.48,24.57,60.84
11300,1001.51,24.57,60.6
11350,1001.57,24.59,60.08
11400,1001.62,24.58,59.6
11450,1001.68,24.56,59.15
11500,1001.71,24.58,58.85
11550,1001.76,24.59,58.48
11600,1001.79,24.58,58.22
11650,1001.83,24.56,57.85
11700,1001.88,24.57,57.46
11750,1001.93,24.57,57.05
11800,1001.97,24.57,56.67
11850,1002.04,24.62,56.13
11900,1002.11,24.57,55.54
11950,1002.15,24.58,55.17
12000,1002.19,24.58,54.83
12050,1002.24,24.58,54.43
12100,1002.28,24.6,54.06
12150,1002.32,24.59,53.73
12200,1002.37,24.6,53.32
12250,1002.41,24.56,53.01
12300,1002.47,24.59,52.52
12350,1002.53,24.59,52
12400,1002.57,24.59,51.62
12450,1002.6,24.6,51.41
12500,1002.65,24.59,50.98
12550,1002.69,24.6,50.66
12600,1002.72,24.63,50.38
12650,1002.78,24.6,49.86
12700,1002.83,24.6,49.45
12750,1002.87,24.61,49.11
12800,1002.91,24.59,48.81
12850,1002.95,24.63,48.47
12900,1003,24.63,48.06
12950,1003.03,24.63,47.81
13000,1003.06,24.61,47.53
13050,1003.09,24.62,47.23
13100,1003.15,24.62,46.78
13150,1003.19,24.62,46.45
13200,1003.23,24.61,46.12
13250,1003.27,24.62,45.79
13300,1003.32,24.63,45.35
13350,1003.37,24.64,44.89
13400,1003.41,24.62,44.56
13450,1003.46,24.64,44.18
13500,1003.5,24.63,43.83
13550,1003.53,24.61,43.61
13600,1003.59,24.64,43.11
13650,1003.66,24.64,42.51
13700,1003.69,24.63,42.2
13750,1003.74,24.64,41.83
13800,1003.77,24.64,41.56
13850,1003.83,24.63,41.09
13900,1003.89,24.63,40.55
13950,1003.93,24.64,40.24
14000,1003.99,24.64,39.68
14050,1004.03,24.63,39.38
14100,1004.07,24.66,39.06
14150,1004.11,24.65,38.69
14200,1004.15,24.63,38.38
14250,1004.19,24.64,38.08
14300,1004.23,24.63,37.71
14350,1004.27,24.65,37.35
14400,1004.29,24.65,37.19
14450,1004.34,24.67,36.8
14500,1004.39,24.65,36.32
14550,1004.46,24.65,35.77
14600,1004.53,24.65,35.19
14650,1004.57,24.64,34.86
14700,1004.6,24.66,34.63
14750,1004.65,24.65,34.2
14800,1004.68,24.65,33.95
14850,1004.71,24.66,33.66
14900,1004.77,24.66,33.21
14950,1004.79,24.65,33.03
15000,1004.82,24.66,32.76
15050,1004.89,24.67,32.19
15100,1004.94,24.68,31.77
15150,1004.97,24.66,31.46
15200,1005.04,24.68,30.9
15250,1005.1,24.69,30.39
15300,1005.15,24.68,29.95
15350,1005.2,24.7,29.55
15400,1005.24,24.68,29.27
15450,1005.28,24.69,28.88
15500,1005.32,24.7,28.53
15550,1005.37,24.69,28.11
15600,1005.44,24.67,27.57
15650,1005.49,24.69,27.17
15700,1005.5,24.68,27.01
15750,1005.55,24.69,26.6
15800,1005.6,24.69,26.18
15850,1005.64,24.71,25.9
15900,1005.67,24.67,25.62
15950,1005.69,24.69,25.45
16000,1005.74,24.67,25.04
16050,1005.78,24.71,24.74
16100,1005.82,24.7,24.34
16150,1005.86,24.69,24.07
16200,1005.91,24.7,23.61
16250,1005.96,24.71,23.15
16300,1006.01,24.68,22.79
16350,1006.05,24.71,22.44
16400,1006.08,24.71,22.18
16450,1006.13,24.72,21.75
16500,1006.18,24.72,21.32
16550,1006.23,24.73,20.92
16600,1006.28,24.71,20.47
16650,1006.36,24.71,19.87
16700,1006.39,24.72,19.56
16750,1006.43,24.72,19.22
16800,1006.48,24.72,18.84
16850,1006.5,24.72,18.68
16900,1006.54,24.72,18.33
16950,1006.59,24.75,17.89
17000,1006.64,24.71,17.47
17050,1006.69,24.72,17.07
17100,1006.73,24.73,16.75
17150,1006.79,24.73,16.25
17200,1006.84,24.74,15.8
17250,1006.88,24.73,15.52
17300,1006.93,24.75,15.07
17350,1006.94,24.73,14.97
17400,1006.99,24.72,14.57
17450,1007.05,24.71,14.06
17500,1007.09,24.73,13.7
17550,1007.14,24.71,13.32
17600,1007.16,24.76,13.14
17650,1007.21,24.73,12.71
17700,1007.25,24.74,12.41
17750,1007.3,24.76,11.95
17800,1007.35,24.75,11.51
17850,1007.42,24.75,10.97
17900,1007.47,24.75,10.55
17950,1007.51,24.72,10.17
18000,1007.58,24.75,9.66
18050,1007.61,24.76,9.39
18100,1007.64,24.73,9.15
18150,1007.7,24.78,8.6
18200,1007.74,24.76,8.28
18250,1007.78,24.76,7.92
18300,1007.83,24.75,7.5
18350,1007.84,24.76,7.48
18400,1007.89,24.74,7.03
18450,1007.94,24.76,6.59
18500,1008,24.77,6.1
18550,1008.06,24.75,5.59
18600,1008.1,24.76,5.29
18650,1008.16,24.77,4.77
18700,1008.19,24.75,4.53
18750,1008.22,24.77,4.26
18800,1008.26,24.79,3.92
18850,1008.33,24.76,3.38
18900,1008.37,24.8,3
18950,1008.42,24.76,2.6
19000,1008.46,24.79,2.3
19050,1008.5,24.79,1.93
19100,1008.54,24.78,1.59
19150,1008.6,24.76,1.12
19200,1008.63,24.78,0.83
19250,1008.67,24.79,0.5
19300,1008.72,24.79,0.09
19350,1008.72,24.79,0.09
19400,1008.72,24.79,0.06
19450,1008.72,24.8,0.05
19500,1008.72,24.76,0.05
19550,1008.75,24.77,-0.17
19600,1008.77,24.8,-0.35
19650,1008.78,24.77,-0.44
19700,1008.79,24.78,-0.5
19750,1008.78,24.8,-0.42
19800,1008.77,24.78,-0.34
19850,1008.79,24.79,-0.46
19900,1008.79,24.79,-0.5
19950,1008.77,24.77,-0.37
20000,1008.77,24.78,-0.36
